	10000	100000	1000000	10000000	
1	   24.72	   25.05	   25.07	   25.01	
4	  105.07	   93.53	   98.36	   96.40	
8	  190.73	  178.05	  179.78	  177.87	
12	  232.28	  250.33	  251.90	  251.29	
16	  294.30	  318.38	  323.96	  321.43	
20	  220.69	  270.53	  278.42	  286.99	
24	  253.30	  319.93	  329.39	  337.80	
28	  261.23	  369.02	  379.96	  388.12	
32	    2.25	   20.97	  171.67	  302.53	
36	   22.62	  195.01	  298.08	  372.45	
40	   21.33	  212.50	  321.85	  359.66	
44	   35.06	  164.13	  338.49	  381.36	
48	   20.62	  136.39	  322.31	  375.46	
52	   20.54	  182.78	  348.36	  364.98	
56	   38.91	  128.60	  371.16	  387.37	
60	   18.07	  136.09	  338.23	  387.55	
64	   18.09	  149.73	  321.40	  378.31	
