"Threads"	"Nodes"	"Volume"	"Performance"
1	100	29.281	17.806
1	200	28.982	17.79
1	300	28.883	17.796
1	400	28.834	17.8
1	500	28.805	17.799
2	100	29.281	35.226
2	200	28.982	34.244
2	300	28.884	35.38
2	400	28.834	35.398
2	500	28.805	35.401
4	100	29.281	69.57
4	200	28.982	69.274
4	300	28.884	66.921
4	400	28.834	67.86
4	500	28.805	69.974
6	100	29.281	95.813
6	200	28.982	98.759
6	300	28.883	94.783
6	400	28.834	94.085
6	500	28.805	97.946
8	100	29.281	119.382
8	200	28.982	126.32
8	300	28.883	122.123
8	400	28.834	121.673
8	500	28.805	120.045
